STA_SEQ,Station_Na,YLat,XLong,MinOfNomin,CountOfNom,HydroID
14741,Titicus River,41.3287,-73.5218,3,1,101000729
14740,Quaker Brook,41.512349,-73.52695,3,5,101000269
16028,Carse Brook,41.8552,-73.3755,3,2,103005564
14148,Bunnell Brook,41.7846,-72.9657,3,2,105001294
16370,Bunnell Brook,41.7807,-72.963,3,5,105001294
19657,Bunnell Brook,41.786255,-72.964622,4,1,105001294
16139,Brown Brook,41.9267,-73.2799,2,8,103004094
14202,Five Mile River,41.1365,-73.4793,5,2,102000898
16003,Nickelmine Brook,41.8199,-73.1461,4,1,103006456
15035,Spruce Brook,41.7472,-73.115,2,1,103008473
14888,Ekonk Brook,41.7109,-71.8778,2,3,109003452
14399,Pocotopaug Creek,41.573,-72.5015,5,1,106002345
14400,Pocotopaug Creek,41.565,-72.5069,5,2,106002345
19019,Wachocastinook Creek,41.993089,-73.438412,2,1,103003654
15044,Kent Falls Brook,41.7769,-73.4192,2,1,103007507
17321,East Spring Brook,41.6121,-73.1761,3,1,103012069
16128,Stonehouse Brook,41.7812,-72.1509,3,7,107001457
15856,Misery Brook,41.5699,-72.8733,5,1,104000122
17174,WASH BROOK,41.825,-72.7386,5,1,106003475
18463,Fivemile River,41.12685,-73.47101,5,1,102000816
14549,Belcher Brook,41.6165,-72.758,5,1,106002657
16138,Wepawaug River,41.3297,-73.0296,4,1,104001314
16143,Little River,41.2931,-73.3678,3,7,102002649
16311,Reservoir Brook,41.6089,-72.5999,4,1,106002614
15313,Harris Brook,41.4733,-72.2851,4,1,106001496
15319,Nod Brook,41.8158,-72.8294,4,4,105001337
18509,"South Fork Hockanum River (""""Hop Brook"""")",41.762739,-72.516012,4,1,106003171
16133,Wharton Brook,41.4324,-72.8321,3,1,104000497
16846,MILL CREEK,41.4644,-72.5092,3,1,106001415
14724,Oxoboxo Brook,41.4673,-72.157,3,1,108001137
14725,Seth Williams Brook,41.4257,-71.9573,5,1,108001481
14473,Ten Mile River,41.5267,-72.9331,4,3,104000230
18123,Northfield Brook,41.6737,-73.0853,3,1,103010642
14856,Pond Meadow Brook,41.3807,-72.5904,3,1,104000774
14290,Menunketesuck River,41.3565,-72.5405,3,2,104001140
16296,fourmile river,41.3208,-72.2575,4,1,108002430
14712,Transylvania Brook,41.484,-73.2584,4,1,103015005
14711,Transylvania Brook,41.484262,-73.258547,5,1,103015005
14521,Factory Brook,41.9668,-73.4277,4,1,103003877
16276,Latimer Brook,41.4375,-72.2253,4,1,108001365
16298,Stony Brook,41.4716,-72.1182,3,2,108001091
16089,Morgan Brook,41.9086,-73.0007,3,1,105001733
14576,Sawmill Brook,41.6008,-72.7141,4,3,106002517
14402,Poland River,41.6912,-73.0045,3,2,105000030
16144,Aspetuck River,41.3076,-73.332,3,1,102002766
15858,Cricker Brook,41.1984,-73.2647,5,1,102001620
16108,Knowlton Brook,41.8492,-72.1783,3,1,107002179
15102,Means Brook,41.3191,-73.1618,4,1,103018177
15670,Sympaug Brook,41.3921,-73.4285,5,4,103016828
14156,Comstock Brook,41.1961,-73.4354,5,1,102001655
16320,Sumner Brook,41.5493,-72.6416,4,1,106002161
16044,Chatfield Hollow Brook,41.3742,-72.593,3,1,104000815
17342,Ball Pond Brook,41.465,-73.465,5,1,103015243
16313,Mad River,41.9477,-73.1444,3,1,105000646
16317,Coppermine Brook,41.7137,-72.9261,3,1,105000062
19024,Crystal Lake Brook,41.966806,-72.362173,4,1,107003311
14437,Salmon Brook,41.7167,-72.5851,4,1,106002030
16342,Blackledge River,41.6814,-72.463,3,1,106002921
14377,Pattaconk Brook,41.3991,-72.4651,2,3,106000865
19026,Horseneck Brook,41.027382,-73.633868,5,1,102000157
16145,Horseneck Brook,41.022,-73.6328,5,1,102000157
14720,Green Fall River,41.4568,-71.8169,2,13,110001265
14716,Steele Brook,41.5916,-73.0962,5,1,103012426
17728,Trout Brook,41.76588,-72.76033,5,1,106003166
17271,Cherry Brook,41.8733,-72.9063,2,1,105000341
15210,Beaver Brook,41.6841,-72.1092,3,1,107000598
15357,Sasco Brook,41.1457,-73.3012,4,4,102000983
15312,Beaver Brook,41.409952,-72.329059,2,5,106000947
16410,Roaring Brook No 2,41.4244,-72.4084,2,1,106001040
14358,Noroton River,41.0898,-73.5152,5,4,102000434
17181,WEST BRANCH BANTAM RIVER,41.7628,-73.1897,4,1,103008170
15253,West Branch Bantam River,41.758,-73.1861,4,1,103008170
14792,Long Meadow Pond Brook,41.4864,-73.0556,5,4,103014698
14969,Mad River,41.5744,-72.9884,5,1,103012793
16300,Hop River,41.7712,-72.4089,3,1,107001334
15507,Guinea Brook,41.8144,-73.3769,4,1,103006567
16321,Bass Brook,41.6931,-72.7587,5,1,106002975
14731,Trading Cove Brook,41.5021,-72.1235,2,3,108000827
15046,Charters Brook,41.9062,-72.4035,2,1,106003718
19644,Fenton River,41.893756,-72.232191,4,1,107002637
14360,Norwalk River,41.2675,-73.4414,3,6,102002534
14436,Salmon Brook,41.7191,-72.602,4,3,106002024
14983,Salmon Brook,41.7181,-72.6133,5,1,106002024
14401,Pocotopaug Creek,41.5352,-72.5182,3,2,106002132
19681,Merrick Brook,41.697255,-72.084129,4,1,107000712
16312,Mad River,41.9458,-73.1286,2,1,105001895
16417,Furnace Brook,41.9934,-72.2695,3,2,107003567
14294,Mill Brook,41.6643,-71.9198,5,1,109003673
16268,Farmill River,41.288,-73.1461,5,1,103018517
14520,Factory Brook,41.9751,-73.4212,5,3,103003800
14470,Tankerhoosen River,41.8272,-72.464,3,7,106003411
14296,Mill Brook,41.667,-71.9227,3,1,109003658
14491,West River,41.3574,-72.7206,3,1,104001180
15005,Bantam River,41.7588,-73.1841,3,4,103008128
14129,Beacon Hill Brook,41.4684,-73.0501,4,4,103015193
14490,West River,41.3399,-72.7154,3,4,104001228
14176,East Branch Naugatuck River,41.8122,-73.1221,4,1,103004350
15859,Means Brook,41.2931,-73.1442,4,1,103018486
16718,HALFWAY RIVER,41.3886,-73.1936,3,1,103016836
14861,Latimer Brook,41.4209,-72.2209,3,1,108001530
16126,Hall Meadow Brook,41.8861,-73.1689,3,1,103005009
14139,Bladens River (Bladdens River),41.3958,-73.0608,3,1,103016722
14138,Bladens River (Bladdens River),41.3972,-73.0718,5,1,103016676
16418,Furnace Brook,41.9937,-72.2767,4,1,107003570
14395,Pequonnock River,41.2881,-73.2348,4,1,102002656
16063,Marshepaug River,41.7794,-73.2663,4,2,103007792
14501,Willow Brook,41.6423,-72.7503,5,3,106002734
14722,Oxoboxo Brook,41.4462,-72.1253,4,1,108001292
14424,Quinnipiac River,41.644,-72.8745,5,1,104000035
16431,Sprain Brook,41.5696,-73.2259,3,2,103012879
14465,Stony Brook,41.9608,-72.711,4,4,106003920
15067,Farm River,41.3524,-72.8073,5,2,104001175
15965,Meadow Brook,41.5871,-72.3868,3,1,106002443
15720,Blackwell Brook,41.7896,-71.9723,2,2,109003000
15364,West Branch Saugatuck River,41.1718,-73.3643,4,4,102001377
16131,Chatfield Hollow Brook,41.3314,-72.595,3,5,104001320
14727,Latimer Brook,41.4107,-72.2217,4,2,108001593
15543,Pease Brook,41.5947,-72.1923,3,3,108000230
14719,Wyassup Brook,41.4566,-71.8172,3,3,110001317
16022,Weekeepeemee River,41.5856,-73.2292,3,2,103012530
14733,Oxoboxo Brook,41.4366,-72.1062,5,2,108001367
14250,South Fork Hockanum River,41.7767,-72.5612,5,2,106003179
14553,Norwalk River,41.2604,-73.4367,4,4,102002459
16860,MOODUS RIVER,41.5111,-72.4375,3,1,106001858
15703,West Branch Salmon Brook,41.9592,-72.8469,2,1,105001956
14226,Harbor Brook,41.5314,-72.8218,5,8,104000222
15854,Muddy River,41.4151,-72.8012,4,3,104000539
15581,Pond Brook,41.4597,-73.3275,3,1,103015303
15567,Pease Brook,41.5807,-72.187,3,1,108000305
14606,Middle River,41.9659,-72.3278,3,1,107003335
18789,Muddy River,41.398123,-72.815119,4,1,104000631
14738,Gardner Brook,41.5433,-72.1734,3,3,108000530
15043,Furnace Brook,41.8212,-73.3713,3,2,103006457
14146,Branford River,41.3072,-72.7648,5,1,104001553
14194,Farm River,41.3331,-72.8153,5,1,104001286
14587,Tenmile River,41.6937,-72.2632,3,2,107000653
16261,Aspetuck River,41.2771,-73.3275,2,2,102002558
16029,padanaram brook,41.3987,-73.4553,5,1,103016587
15571,Cherry Brook,41.8365,-72.9295,3,2,105001405
14199,Fenton River,41.863,-72.2402,3,2,107002323
14179,East Branch Naugatuck River,41.797345,-73.115842,5,2,103006978
14463,Still River,41.3898,-73.4637,5,2,103016925
16141,Pequonnock River,41.2534,-73.2059,4,3,102002384
16260,Aspetuck River,41.2589,-73.3247,3,1,102002420
14388,Pequabuck River,41.678,-73.0002,5,2,105001054
14182,East Aspetuck River,41.6817,-73.354,5,1,103010254
14214,Furnace Brook,41.9841,-72.2947,4,2,107003454
16340,Saugatuck River,41.322,-73.4229,3,1,102002847
14280,Little River,41.4058,-73.0926,3,3,103016526
14605,Eightmile River,41.5908,-72.9009,3,7,104000093
14593,Whetstone Brook,41.831633,-71.878097,3,2,109002854
17707,West River,41.364,-72.9794,5,1,104001041
19016,Trout Brook,41.76615,-72.7392,5,1,106003139
14366,Norwalk River,41.246,-73.4341,4,5,102002176
14364,Norwalk River,41.2569,-73.4288,5,1,102002176
16971,PIPER BROOK,41.7122,-72.7369,5,1,106002016
14188,Eightmile River,41.588,-72.8977,3,6,104000096
15689,Moodus River,41.4959,-72.4599,3,1,106001732
15179,Eightmile River,41.4671,-72.3372,3,2,106001382
14554,Norwalk River,41.2268,-73.4246,5,1,102001987
14396,Pine Brook,41.5079,-72.4952,2,3,106001841
14706,Whitford Brook,41.3928,-71.9604,3,12,108001825
14859,Shunock River,41.4304,-71.8526,3,1,110001442
14601,Broad Brook,41.5632,-71.9834,3,3,109004082
16319,Pequabuck River,41.6708,-72.9774,5,1,105001044
14389,Pequabuck River,41.6693,-72.9936,5,6,105001044
14739,Susquetonscut Brook,41.5724,-72.1324,3,3,108000404
16335,Nonewaug River (Nonnewaug River),41.5783,-73.1745,3,3,103012707
14397,Piper Brook,41.7186,-72.7274,5,3,106002029
15499,West Branch Salmon Brook,41.94096,-72.834302,4,3,105000620
14147,Broad Brook,41.9147,-72.549,5,6,106003766
15540,Hop Brook,41.5049,-73.0584,5,1,103014245
14406,Pootatuck River,41.4064,-73.272,3,1,103016444
18685,Wash Brook,41.819229,-72.739279,5,1,106000259
14172,Deep Brook,41.4131,-73.2823,4,2,103016244
15047,Hockanum River,41.8676,-72.4341,5,2,106003602
14628,Steele Brook,41.5687,-73.0574,5,3,103012916
14456,Steele Brook,41.5805,-73.0703,5,8,103012916
14285,Mad River,41.5603,-73.0029,5,1,103013173
15711,Little River,41.7561,-72.0473,3,1,107001168
14215,Furnace Brook,41.9679,-72.2979,4,2,107003218
16419,Furnace Brook,41.9599,-72.2994,4,2,107003218
14656,Furnace Brook,41.9554,-72.3013,5,2,107003218
14721,Shunock River,41.4101,-71.8452,3,6,110001465
14186,Eightmile Brook,41.3885,-73.1648,2,2,103016888
15994,Eightmile Brook,41.3842,-73.1642,3,2,103016998
14248,Hop Brook,41.4987,-73.0537,5,4,103004629
15529,Macedonia Brook,41.7298,-73.4884,3,2,103009016
14588,Bungee Brook,41.8957,-72.0714,3,1,107002676
14390,Pequabuck River,41.6742,-72.9619,4,10,105000011
14885,Pequabuck River,41.6743,-72.956,3,1,105001051
14158,Coppermine Brook,41.6777,-72.9077,4,2,105000017
15583,Mad River,41.5413,-73.0089,5,1,103013614
14369,Norwalk River,41.2048,-73.4306,3,1,102001753
14479,Trout Brook,41.7314,-72.7231,5,7,106003070
15380,Aspetuck River,41.2287,-73.3241,5,1,102002006
14484,West Branch Salmon Brook,41.9372,-72.8215,2,3,105000642
16295,Latimer Brook,41.3695,-72.2002,3,2,108002043
14853,Norwalk River,41.2026,-73.4311,4,2,102001669
14298,Mill River,41.208,-73.257,4,3,102001653
15092,Fenton River,41.8335,-72.2429,2,1,107002020
14732,Poquetanuck Brook (Hewitt Brook),41.4981,-72.0365,3,3,108000856
16332,East Aspetuck River,41.6546,-73.3785,5,1,103011123
14247,Hollenbeck River,41.9431,-73.3058,2,4,103004210
15048,Hockanum River,41.8666,-72.4648,4,3,106003597
14238,Hockanum River,41.8758,-72.4743,5,2,106003597
16338,West Branch Naugatuck River,41.8561,-73.1602,3,1,103005596
18867,Blackledge River,41.617548,-72.426253,3,1,106002616
14137,Blackledge River,41.6084,-72.4263,3,1,106002616
14281,Lyman Brook,41.6077,-72.4263,3,1,106002616
14489,West River,41.3303,-72.9663,5,3,104001342
16259,Aspetuck River,41.2132,-73.3291,4,1,102001802
15479,Quinnipiac River,41.5996,-72.8854,5,4,104000092
14349,Nepaug River,41.83,-72.9947,3,2,105001395
14595,Quanduck Brook,41.721906,-71.836053,3,1,109003308
14486,Wepawaug River,41.236,-73.0573,4,2,104002486
14303,Muddy Brook,41.9838,-72.6582,4,2,106004021
15065,Farm River,41.2791,-72.8672,5,1,104002043
18877,Leadmine Brook,41.7211,-73.05769,3,1,103009352
16343,Green Fall River,41.4523,-71.809,3,2,110001291
14417,Quinnipiac River,41.5878,-72.891,5,1,104000099
14472,Ten Mile River,41.5655,-72.8905,5,3,104000145
15138,Bantam River,41.7305,-73.1868,3,1,103009039
14444,Saugatuck River,41.2945,-73.3948,3,15,102002697
14452,Silvermine River,41.1503,-73.4434,5,2,102000942
14126,Aspetuck River,41.1864,-73.3429,4,1,102001531
14602,Merrick Brook,41.661,-72.1101,3,1,107000473
15240,Hubbard Brook,42.0356,-72.9384,2,5,105002248
14394,Pequonnock River,41.2343,-73.1838,4,5,102002069
14407,Pootatuck River,41.4142,-73.2823,3,2,103016207
14408,Pootatuck River,41.4144,-73.2825,3,3,103016207
15375,Aspetuck River,41.1769,-73.3579,4,2,102001415
14145,Branch Brook,41.6434,-73.081,5,1,103011292
15678,Sandy Brook,42.0109,-73.0888,3,1,105000838
14556,Silvermine River,41.1361,-73.4346,5,1,102000927
15087,Muddy River,41.3668,-72.8543,4,4,104001043
15013,Mill River,41.4259,-72.9056,3,5,104000503
15531,Leadmine Brook,41.7164,-73.0604,3,2,103009658
14600,Blackwell Brook,41.7407,-71.9488,3,2,109003224
14221,Hammonasset River,41.3278,-72.6116,3,3,104001327
14409,Pootatuck River,41.4162,-73.2824,3,4,103016184
14196,Farmill River,41.273,-73.1129,4,1,103018647
16400,North Branch Park River,41.797,-72.72,5,3,106003270
14431,Rippowam River,41.1134,-73.5471,4,1,102000632
14183,East Aspetuck River,41.5979,-73.4152,3,4,103012448
14488,West Aspetuck River,41.604889,-73.428789,3,3,103012465
16301,Pequabuck River,41.6698,-72.9272,5,1,105001042
14195,Farmill River,41.2591,-73.0979,4,3,103018783
14284,Mad River,41.5439,-73.0384,5,7,103013586
14150,Byram River,41.0276,-73.6621,5,3,102000175
15177,Mill River,41.4211,-72.9022,3,2,104000916
16415,Mill River,41.4141,-72.895,4,1,104000921
14391,Pequabuck River,41.6681,-72.9208,5,3,105000008
14370,Norwalk River,41.1909,-73.4297,4,6,102001545
14355,Nonewaug River,41.5575,-73.2122,3,2,103013116
14433,Roaring Brook,41.665,-72.6045,3,2,106002851
15184,Roaring Brook,41.6643,-72.5977,4,1,106002851
15530,Weekeepeemee River,41.5575,-73.2155,3,8,103013117
14241,Hockanum River,41.8503,-72.4878,5,5,106003561
14293,Mianus River,41.0806,-73.5812,4,2,102000324
14592,Fenton River,41.7925,-72.21,2,2,107001546
