STA_SEQ,Station_Na,YLat,XLong,BCG,CountOfNom,HydroID,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI
16984,PURCHASE BROOK,41.4686,-73.2911,3,1,103015113,2,6.17,1.434107691,0.0,0.0,4476.0,3451.0,0.0,0.77100089366,0.0,0.00133661374,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
17427,East Branch Stonehouse Brook,41.8186,-72.1316,5,1,107001810,3,4.546627,1.472685,2.0,0.0,4232.0,289.0,0.0,0.06828922495,5.40576088386,0.03285051414,0.0,0.0,0.0,0.0,0.43988653567,1.0,1.0,3.0,1.0,6.0,2.0
17610,Silver Brook,41.280798,-72.999271,5,1,104002083,2,4.108017,1.503355,0.0,0.0,4321.0,42611.0,0.0,9.861374681789998,0.0,0.0014153714300000001,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
19025,Menunketesuck River,41.382789,-72.552639,4,1,104000796,2,4.06531,1.510973,0.0,0.0,4356.0,3097.0,0.0,0.7109733700599999,0.0,0.00142408386,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16127,Jakes Brook,41.864151,-73.16744200000001,2,4,103005443,3,5.149002111000001,1.51790806,0.0,0.0,4733.0,654.0,0.0,0.13817874498,0.0,0.00143202342,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15239,East Branch Byram River,41.0995,-73.6832,3,2,102000513,3,5.74992,1.574332,2.0,0.0,4914.0,2877.0,0.0,0.58547008547,4.09666496076,0.03097960401,0.0,0.0,0.0,0.0,0.34783092634,1.0,1.0,3.0,1.0,6.0,2.0
16135,Sargent River,41.4272,-72.9899,3,1,104000529,1,2.455017,1.576284,1.0,0.0,4535.0,15056.0,0.0,3.31995589857,0.0,0.0014991600699999998,0.0,0.0,0.0,0.0,0.40732915495,2.0,1.0,3.0,1.0,7.0,2.0
15304,Eagleville Brook,41.7938,-72.2752,3,4,107001600,2,3.179677,1.585123,0.0,0.0,4553.0,75097.0,3.0,16.4939600264,3.9408566017,0.030633417530000002,0.0,4.641,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
15010,Cabin Brook,41.5603,-72.3349,3,3,106002320,2,4.98,1.598619,0.0,0.0,4707.0,27604.0,0.0,5.86445719142,38.69712452,0.09780938477,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
18209,Cabin Brook,41.560520000000004,-72.330771,3,2,106002320,2,4.98,1.598619,0.0,0.0,4707.0,27604.0,0.0,5.86445719142,38.69712452,0.09780938477,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
18515,Menunketesuck River Unnamed Tributary to,41.356489,-72.53649300000001,5,1,104001139,3,4.021521,1.599395,1.0,28.9,4598.0,1331.0,0.0,0.28947368421,0.0,0.001525888,44.714907985,0.0,29304.1875193,0.0,0.24866213554000002,1.0,3.0,3.0,1.0,8.0,2.0
19655,Bradley Brook,41.991852,-72.81050400000001,4,1,105002144,3,4.33,1.610613,0.0,0.0,4733.0,4782.0,0.0,1.01035284175,6.829697761039999,0.041199888819999995,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
14846,Sawmill Brook,41.5851,-73.5108,2,1,103012506,2,3.97,1.629555791,0.0,0.0,4795.0,479.0,0.0,0.09989572471000001,0.0,0.00156089345,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16535,BUCK BROOK,41.6228,-72.558,3,1,106002686,2,3.24,1.63,0.0,0.0,4757.0,615.0,0.0,0.12928316165999998,1.2269938650299999,0.017606250759999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15426,Bladens River (Bladdens River),41.3872,-73.0191,3,1,103016885,3,5.634363854,1.641426965,0.0,0.0,5014.0,17349.0,0.0,3.4601116872800004,5.84193145505,0.038968616539999994,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0
16035,Nickelmine Brook,41.8342,-73.1786,3,1,103006136,3,5.56,1.64328383,0.0,0.0,5056.0,1311.0,0.0,0.25929588608000004,0.0,0.00157687274,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
14862,Bentley Brook,41.5582,-72.1366,3,1,108000499,2,2.83325,1.646239,0.0,0.0,4738.0,6129.0,0.0,1.2935837906299998,10.4110287485,0.05231853352,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
14860,Flat Brook,41.4062,-72.0747,3,1,108001640,2,4.651194,1.693499,0.0,0.0,4875.0,27220.0,0.0,5.583589743589999,17.2004270083,0.06972827327,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
